Uv nPatterns: 111 nProjects: 362
'(\\W+)'	12,251,412,759,852,961,1087,1221,1511
'\\\\.|.'	302,849,878,1012,1086,1158,1495,1580,1634
'^[^-_.]+'	322,416,467,505,534,1199,1300,1404,1466
'([a-zA-Z0-9_$%]+)'	306,322,464,467,505,534,1007,1404,1466
'[a-zA-Z0-9_-]{6}$'	12,412,759,852,961,1087,1221,1511,1580
'\\w*'	119,813,927,1003,1007,1015,1032,1580
'(?<!\\\\)([aAbBcdDeEfFgGhHiIjlLmMnNoOPrsStTUuwWyYzZ])'	849,878,1012,1086,1158,1495,1580,1634
'[a-zA-Z]'	284,560,721,886,1139,1317,1501
'(\\.0+)*$'	305,412,759,852,961,1221,1511
'\\s([^a])'	12,412,759,852,1087,1221,1511
'[^a-z0-9]+'	147,162,181,251,619,1087,1267
'\\s([^a]*)'	12,412,759,852,1087,1221,1511
'[-a-zA-Z_@.]+'	322,467,505,534,712,1216,1466
'[^]~%\\\\{}]+'	12,412,759,852,961,1221,1511
'[^\\\\][^\\\\]*'	12,412,759,852,961,1221,1511
'(?<!\\\\)([aAbBdDfFgGhHiIjlLmMnNOPrsStTUwWyYzZ])'	82,89,1004,1074,1075,1184,1495
'(?<!\\\\)([aAbBcdDEfFgGhHiIjlLmMnNOPrsStTUuwWyYzZ])'	302,323,355,422,866,1495,1517
'[^A-Za-z0-9_.!~*()-]'	412,759,852,961,1221,1511
'[^\\w]'	136,137,1408,1495,1571
'[^a-z]'	326,1248,1433,1469,1488
'(\\w+)(.*)'	162,251,619,1087,1267
'([^\\\\] )'	422,602,747,1517,1580
'[^A-Za-z0-9]'	1116,1451,1471,1480,1580
'(.+?)(\\s|$)'	305,1025,1322,1326,1505
'\\w\\w\\w\\w'	441,628,1054,1204,1580
'^([\\w\\-:]*)'	143,188,213,1094,1583
'[^a-zA-Z0-9_-]'	251,1087,1121,1320,1355
'\\b(\\w*)\\b\\W*'	162,251,619,1087,1267
'(\\S+)\\s+(\\S+)'	803,1007,1015,1032,1300
'[a-z]+'	315,1247,1253,1288
'[\\W]+'	103,130,574,1340
'[^!-~]'	642,776,971,1203
'\\s+\\S'	602,747,1248,1488
'[.]{2,}'	1263,1290,1580,1594
'([^/]+)'	433,927,1003,1202
